rf_dBm,wanted_unfiltered_W,carrier_to_wanted_unfiltered,wanted_at_cell_W,carrier_at_cell_W,other_sidebands_at_cell_W,carrier_to_wanted_at_cell,other_to_wanted_at_cell,cell_spectral_purity
6.0,8.845667750212909e-05,18.71338346822321,1.1411727484962849e-06,3.642219147162213e-08,1.3286436261048358e-09,0.03191645745099977,0.0011642791399072401,0.9679785563516835
6.25,9.341431448619937e-05,17.61114076089237,1.205130839427545e-06,3.619795639272787e-08,1.4057489754211732e-09,0.0300365364560104,0.0011664700042768176,0.9697411603100394
6.5,9.863191325873381e-05,16.570587837411832,1.2724426772665892e-06,3.59615585852566e-08,1.4872271147637369e-09,0.028261829965109148,0.0011687969456970267,0.9714107719923548
6.75,0.00010412090723629927,15.588275839367581,1.3432557636354186e-06,3.5712409996261416e-08,1.573313591065076e-09,0.026586455806159,0.0011712688183872174,0.9729919571904103
7.0,0.00010989295123589741,14.66094897426053,1.4177204564259016e-06,3.544990307597504e-08,1.6642551012940005e-09,0.02500486108900825,0.0011738951030512864,0.9744890877597159
7.25,0.00011595988414922288,13.785533726535629,1.4959894882632728e-06,3.517341134156517e-08,1.7603098233592435e-09,0.023511803804449696,0.0011766859574680742,0.9759063461641362
7.5,0.00012233368419438972,12.959128673150994,1.5782173892121155e-06,3.488229015609419e-08,1.8617477287848948e-09,0.022102335454248338,0.0011796522719308806,0.9772477303368607
7.75,0.00012902641583817923,12.178994869981688,1.6645598020243928e-06,3.457587775260609e-08,1.968850871914703e-09,0.020771784654751265,0.0011828057300916671,0.9785170587896911
8.0,0.00013605016740056794,11.442546777253199,1.7551726771802931e-06,3.425349653625204e-08,2.081913649669227e-09,0.019515741659835266,0.0011861588758399814,0.9797179759097042
8.25,0.00014341697826879664,10.747343693994745,1.8502113338825702e-06,3.3914454700530494e-08,2.2012430250681136e-09,0.018330043752009025,0.001189725186932523,0.9808539573889219
8.5,0.00015113875456131283,10.091081673201105,1.9498293720435906e-06,3.355804819704346e-08,2.327158706832977e-09,0.017210761453383846,0.0011935191561884785,0.981928315738661
8.75,0.00015922717199365555,9.47158589099747,2.0541774191656365e-06,3.318356310163779e-08,2.459993276398959e-09,0.016154185510965383,0.0011975563811806266,0.9829442058457835
9.0,0.00016769356461016776,8.886803444620995,2.1634016948773414e-06,3.279027842337705e-08,2.600092252579171e-09,0.015156814613310251,0.0012018536634855455,0.9839046305331056
9.25,0.0001765487979591268,8.334796555471675,2.2776423747758637e-06,3.2377469406435346e-08,2.747814082940447e-09,0.014215343798045345,0.0012064291187113391,0.9848124460907922
