contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.0,,0.134,-8.728952016351922,0.134,-8.728952016351922,0.134,-8.728952016351922
0.0025,347.4,0.13615960099750626,-8.65951729915445,0.13865336658354116,-8.580695810381249,0.14428054862842893,-8.407922149408225
0.005,174.2,0.13830845771144282,-8.591512615024126,0.14328358208955227,-8.438035696612578,0.15450995024875624,-8.11043547313703
0.0075,116.46666666666667,0.14044665012406948,-8.52488614952838,0.1478908188585608,-8.30058786400873,0.16468858560794045,-7.833365002793725
0.01,87.6,0.1425742574257426,-8.459588816873929,0.15247524752475247,-8.168006529461795,0.17481683168316833,-7.574167550242459
0.0125,70.28,0.14469135802469138,-8.395574071965777,0.15703703703703706,-8.039979075662547,0.1848950617283951,-7.330746880444413
0.015,58.733333333333334,0.14679802955665028,-8.332797738369576,0.16157635467980297,-7.916221942015338,0.19492364532019707,-7.101354753553702
0.0175,50.48571428571428,0.1488943488943489,-8.271217850589338,0.16609336609336608,-7.796477132835841,0.20490294840294843,-6.884517923751918
0.02,44.3,0.15098039215686274,-8.210794509254546,0.17058823529411765,-7.680509234793178,0.21483333333333338,-6.678983330302405
0.0225,39.48888888888889,0.1530562347188264,-8.151489747969121,0.1750611246943765,-7.568102856994862,0.22471515892420543,-6.483676297834747
0.025,35.64,0.15512195121951222,-8.093267410713215,0.17951219512195124,-7.459060423822366,0.23454878048780492,-6.297668207803223
0.0275,32.49090909090909,0.15717761557177615,-8.036093038809852,0.18394160583941604,-7.353200263748628,0.2443345498783455,-6.1201511771508095
0.03,29.866666666666667,0.15922330097087378,-7.979933766574744,0.1883495145631068,-7.250354947749461,0.2540728155339806,-5.9504179970821705
0.0325,27.646153846153844,0.16125907990314772,-7.924758224861,0.1927360774818402,-7.150369839187319,0.2637639225181599,-5.787846072839015
0.035,25.74285714285714,0.1632850241545894,-7.8705364517926295,0.19710144927536236,-7.053101823670377,0.27340821256038655,-5.631884443545523
0.0375,24.093333333333334,0.1653012048192771,-7.81723981005341,0.20144578313253012,-6.958418192730763,0.28300602409638553,-5.4820431993869985
0.04,22.65,0.16730769230769232,-7.764840910161805,0.2057692307692308,-6.8661956594958955,0.2925576923076924,-5.337884783672634
0.0425,21.376470588235293,0.1693045563549161,-7.713313539219538,0.21007194244604319,-6.776319488056767,0.30206354916067146,-5.1990167907458975
0.045,20.244444444444444,0.17129186602870813,-7.662632594671797,0.21435406698564596,-6.688682721129099,0.31152392344497615,-5.06508596127802
0.0475,19.23157894736842,0.17326968973747015,-7.612774022662016,0.2186157517899761,-6.6031854929844505,0.32093914081145586,-4.93577314372748
0.05,18.32,0.17523809523809522,-7.563714760604016,0.22285714285714286,-6.519734416597952,0.33030952380952383,-4.810789041218049
0.0525,17.495238095238097,0.17719714964370548,-7.515432683629994,0.22707838479809975,-6.438242035595683,0.33963539192399056,-4.68987060134746
0.055,16.745454545454546,0.17914691943127964,-7.467906554604673,0.23127962085308057,-6.358626332949821,0.3489170616113745,-4.572777935713639
0.0575,16.06086956521739,0.18108747044917256,-7.421115977424384,0.2354609929078014,-6.280810289513436,0.35815484633569744,-4.459291678542055
0.06,15.433333333333334,0.1830188679245283,-7.375041353345441,0.23962264150943396,-6.204721486448321,0.36734905660377365,-4.34921071138242
0.0625,14.856,0.18494117647058825,-7.329663840109037,0.24376470588235294,-6.130291746410973,0.37650000000000006,-4.242350194632806
0.065,14.323076923076922,0.18685446009389672,-7.284965313650499,0.247887323943662,-6.057456809049254,0.38560798122065737,-4.138539857541165
0.0675,13.829629629629629,0.18875878220140518,-7.240928332199331,0.2519906323185012,-5.986156036946534,0.39467330210772844,-4.037622506996193
0.07,13.37142857142857,0.19065420560747665,-7.197536102593109,0.2560747663551402,-5.916332148648217,0.40369626168224304,-3.939452722351911
0.0725,12.944827586206896,0.19254079254079257,-7.15477244864342,0.2601398601398602,-5.847930975831642,0.4126771561771562,-3.8438957091126706
0.075,12.546666666666667,0.1944186046511628,-7.112621781405702,0.26418604651162797,-5.780901242045864,0.4216162790697675,-3.750826288826059
0.0775,12.174193548387096,0.19628770301624135,-7.07106907121708,0.2682134570765662,-5.715194360762212,0.4305139211136892,-3.6601280062122887
0.08,11.825,0.19814814814814816,-7.030099821377589,0.27222222222222225,-5.650764250747924,0.43937037037037047,-3.571692337571688
0.0825,11.496969696969696,0.2,-6.9897000433601875,0.27621247113163977,-5.587567167009734,0.44818591224018484,-3.485417986990073
0.085,11.188235294117646,0.20184331797235025,-6.949856233444299,0.28018433179723506,-5.525561545757945,0.45696082949308764,-3.401210258909719
0.08750000000000001,10.897142857142857,0.20367816091954027,-6.910555350675864,0.2841379310344828,-5.464707862018402,0.4656954022988507,-3.318980497333526
0.09,10.622222222222222,0.2055045871559633,-6.871784796064608,0.2880733944954128,-5.404968498674087,0.4743899082568807,-3.2386455833470214
0.0925,10.362162162162162,0.20732265446224257,-6.833532392936088,0.2919908466819222,-5.346307625852783,0.48304462242562934,-3.1601274838288003
0.095,10.11578947368421,0.2091324200913242,-6.79578636836249,0.2958904109589041,-5.28869108969525,0.4916598173515983,-3.0833528452166767
0.0975,9.882051282051282,0.2109339407744875,-6.75853533560187,0.2997722095671982,-5.232086309641847,0.5002357630979499,-3.008252627037136
0.1,9.66,0.2127272727272727,-6.721768277480821,0.30363636363636365,-5.176462183466606,0.5087727272727273,-2.934761770617147
0.10250000000000001,9.448780487804877,0.2145124716553288,-6.685474530660458,0.3074829931972789,-5.12178899936794,0.5172709750566894,-2.862818899001481
0.105,9.247619047619049,0.21628959276018098,-6.649643770729918,0.31131221719457014,-5.068038354495994,0.5257307692307693,-2.792366044613442
0.1075,9.055813953488371,0.218058690744921,-6.614265998075762,0.31512415349887135,-5.015183079359272,0.5341523702031603,-2.72334840163691
0.11,8.872727272727273,0.2198198198198198,-6.57933152447928,0.3189189189189189,-4.963197167608697,0.5425360360360362,-2.655714100474838
0.1125,8.697777777777777,0.22157303370786516,-6.544830960397205,0.32269662921348313,-4.9120557107465,0.5508820224719102,-2.589414001963686
0.115,8.530434782608696,0.22331838565022422,-6.5107552028844315,0.32645739910313903,-4.861734837351235,0.5591905829596414,-2.5244015093029386
0.11750000000000001,8.370212765957447,0.22505592841163313,-6.477095424120279,0.3302013422818792,-4.812211656449137,0.5674619686800896,-2.4606323959006824
0.12,8.216666666666667,0.22678571428571426,-6.443843060502436,0.3339285714285714,-4.763464204697015,0.5756964285714287,-2.3980646475457963
0.1225,8.069387755102042,0.2285077951002227,-6.410989802275258,0.33763919821826277,-4.715471397072885,0.5838942093541203,-2.336658317499499
0.125,7.928,0.23022222222222222,-6.3785275836612945,0.3413333333333333,-4.668212980798505,0.5920555555555557,-2.2763753932576196
0.1275,7.792156862745098,0.23192904656319294,-6.34644857346705,0.3450110864745011,-4.621669492242903,0.6001807095343682,-2.2171796738735865
0.13,7.661538461538461,0.23362831858407082,-6.314745166135887,0.3486725663716815,-4.575822216578455,0.6082699115044249,-2.1590366568532997
0.1325,7.535849056603773,0.23532008830022075,-6.283409973222785,0.352317880794702,-4.530653149981212,0.616323399558499,-2.101913433739492
0.135,7.4148148148148145,0.23700440528634362,-6.252435815267336,0.35594713656387666,-4.486144964185366,0.6243414096916301,-2.0457785935965873
0.1375,7.298181818181818,0.2386813186813187,-6.221815714042842,0.3595604395604396,-4.4422809732180815,0.632324175824176,-1.99060213368944
0.14,7.185714285714285,0.24035087719298245,-6.191542885160847,0.36315789473684207,-4.399045102155737,0.6402719298245615,-1.9363553767219654
0.14250000000000002,7.07719298245614,0.24201312910284464,-6.161610731011708,0.3667396061269147,-4.356421857755925,0.6481849015317288,-1.8830108940659267
0.145,6.972413793103448,0.2436681222707424,-6.132012834023092,0.37030567685589516,-4.314396300831742,0.6560633187772926,-1.8305424344670531
0.1475,6.871186440677967,0.24531590413943352,-6.102742950219339,0.3738562091503268,-4.272954020245746,0.6639074074074075,-1.7789248577661367
0.15,6.773333333333333,0.2469565217391305,-6.073795003065739,0.37739130434782614,-4.232081108411009,0.671717391304348,-1.7281340732177082
0.1525,6.678688524590164,0.24859002169197394,-6.04516307758277,0.3809110629067245,-4.191764138195644,0.6794934924078091,-1.678146982028812
0.155,6.587096774193548,0.2502164502164502,-6.016841414716152,0.38441558441558443,-4.151990141135433,0.6872359307359308,-1.6289414237761004
0.1575,6.498412698412698,0.25183585313174944,-5.988824405949579,0.3879049676025918,-4.112746586866676,0.6949449244060477,-1.5804961263913533
0.16,6.4125,0.25344827586206903,-5.9611065881476115,0.39137931034482765,-4.074021363698145,0.7026206896551727,-1.5327906594339724
0.1625,6.329230769230769,0.25505376344086017,-5.9336826386171015,0.39483870967741935,-4.035802760247303,0.7102634408602151,-1.4858053903946324
0.165,6.248484848484848,0.2566523605150215,-5.906547370376081,0.3982832618025751,-3.9980794480715693,0.7178733905579401,-1.4395214437971542
0.1675,6.170149253731343,0.2582441113490364,-5.879695727619797,0.4017130620985011,-3.9608404652306644,0.7254507494646683,-1.3939206628863245
0.17,6.094117647058823,0.2598290598290599,-5.853122781374078,0.4051282051282052,-3.924075200720765,0.7329957264957266,-1.3489855737078829
0.17250000000000001,6.0202898550724635,0.26140724946695093,-5.826823725326871,0.40852878464818765,-3.8877733797255765,0.7405085287846483,-1.304699351403694
0.17500000000000002,5.948571428571428,0.2629787234042554,-5.800793871829203,0.41191489361702127,-3.8519250496334263,0.7479893617021278,-1.2610457885601687
0.1775,5.87887323943662,0.2645435244161359,-5.775028648057454,0.4152866242038217,-3.816520566773135,0.7554384288747347,-1.218009265461655
0.18,5.811111111111111,0.26610169491525426,-5.749523592329105,0.4186440677966102,-3.7815505838247843,0.76285593220339,-1.1755747221128674
