row_id,gabes_key,unit,row_type,description,Sim_2025_gold_final,McCormick_2007_OL,McCormick_2008_PRA,Vogl_2012_SPIE,Liu_2011_OL,Wu_2019_OE,de_Araujo_2024_OE,Allen_2026_OE,Jain_2025_OL,Monsa_2026_preprint
paper_title,,,meta_text,Full paper title.,Intensity-difference squeezing from four-wave mixing in hot 85Rb and 87Rb atoms in electro-optic-modulation-based single diode laser pumping system,Strong relative intensity squeezing by four-wave mixing in rubidium vapor,Strong low-frequency quantum correlations from a four-wave-mixing amplifier,A compact source for quantum image processing with four-wave mixing in Rubidium-85,Realization of low frequency and controllable bandwidth squeezing based on a four-wave-mixing amplifier in rubidium vapor,Twin-beam intensity-difference squeezing below 10 Hz,Characterizing two-mode-squeezed light from four-wave mixing in rubidium vapor for quantum sensing and information processing,Long-term stabilization of intensity-difference squeezing from four-wave mixing in rubidium vapor,Compact fiber-coupled narrowband two-mode squeezed light source,Ultra compact low cost two mode squeezed light source
source_file,,,meta_text,Source PDF path/name.,references/Intensity-difference squeezing from four-wave mixing in hot 85Rb and 87Rb atoms in electro-optic-modulation-based single diode laser pumping system.pdf,85 Rb D1 FWM/ol-32-2-178.pdf,85 Rb D1 FWM/0703111v2.pdf,85 Rb D1 FWM/1209.2464v1.pdf,85 Rb D1 FWM/ol-36-15-2979.pdf,85 Rb D1 FWM/1810.09589v1.pdf,85 Rb D1 FWM/e3090c114bfd10282b2189aa0326f8347475.pdf,85 Rb D1 FWM/oe-34-10-19382.pdf,85 Rb D1 FWM/ol-50-16-5165.pdf,85 Rb D1 FWM/2601.13939v1.pdf
reference_role,,,data_text,Role/class for model use.,gold_reference,seeded_ids_natural_abundance,seeded_ids,compact_seeded_ids,seeded_ids,dual_seeded_low_freq_ids,homodyne_vacuum_seeded,stability_seeded_ids,fiber_coupled_seeded_ids,compact_preprint
species_line,,,data_text,Atom/isotope/line.,85Rb D1,natural abundance Rb D1,85Rb D1,85Rb D1,85Rb D1,85Rb D1,85Rb D1,85Rb D1,85Rb D1,85Rb D1
is_gold_reference,,0/1,data_numeric,1 only for GABES gold reference.,1,0,0,0,0,0,0,0,0,0
is_preprint_or_nonfinal,,0/1,data_numeric,1 for preprint/nonfinal source.,0,0,0,0,0,0,0,0,0,1
gabes_use_level,,0-3,data_numeric,3 direct calibration; 2 comparable seeded IDS; 1 partial/qualitative.,3,2,2.5,1.5,2.5,1.5,1,2.5,1.5,1.5
experiment_mode,,,data_text,Main optical/noise measurement mode.,single_seed_ids,single_seed_ids,single_seed_ids,single_seed_ids,single_seed_ids,dual_seed_ids,homodyne_vacuum,single_seed_ids,fiber_coupled_ids,single_seed_ids
opd_ghz_primary,opd,GHz,data_numeric,Primary/representative OPD in GABES standard: pump minus 85Rb F=2 -> F'=3.,0.9,0.75,0.8,0.8,0.8,1.2,,0.95,,0.9
opd_ghz_min,opd,GHz,data_numeric,Lower reported/usable OPD bound; equals primary for single-point reports.,0.9,0.75,0.8,0.1,0.8,0.8,,0.95,,0.9
